,autor,edicao,link,resumo,tipo_trabalho,titulo
135,"
								Pamila Cristina Lima Siviero
							",,,,,
136,"
								André Junqueira Caetano
							",,,,,
137,"
								Carla Jorge Machado
							",,,,,
138,"
								Eduardo Brondízio
							",,,,,
139,"
								Raquel Rangel de Meireles Guimarães
							","
				v. 28 n. 2 (2011)
			",https://rebep.org.br/revista/article/view/71,"
					Este artigo procura realizar um exercício de comparação metodológica de dois estimadores dos modelos idade-período-coorte: o estimador convencional obtido pelos modelos lineares generalizados restritos (MLGR); e o estimadorgintrínseco (EI). O objeto de interesse são as contribuições dos efeitos de idade, período e coorte nas mudanças temporais na probabilidade de progressão (PPS) para a 5ª série do ensino fundamental das mulheres brasileiras. A modelagem IPC se justifica uma vez que os efeitos de idade, período e coorte podem impactar de forma significativa a probabilidade de progressão escolar: efeitos de idade refletem tanto a idade mínima de entrada no sistema de ensino como também o dilema entre trabalho e estudo que surge ao longo da carreira educacional; efeitos de período estão associados às diferentes conjunturas econômica e política, bem como ao estado das políticas educacionais; por fim, efeitos de coorte refletem características sociais peculiares a determinados grupos de indivíduos. Os dois instrumentais foram contrapostos em termos da eficiência, significância e estimativa dos parâmetros. Os resultados revelam a potencialidade da solução para o modelo IPC baseada no estimador intrínseco, o qual apresenta parâmetros com variância inferior aos estimados pelo modelo linear generalizado restrito. Desta forma, projeções das PPS baseadas na extrapolação do erro-padrão dos parâmetros obtidos pelo estimador intrínseco podem ser promissoras.
				","
									Artigos originais
						","
		Comparação entre metodologias de idade-período-coorte para o estudo de uma medida da progressão escolar no Brasil
	"
140,"
								Eduardo Luiz Gonçalves Rios-Neto
							",,,,,
141,"
								Roberta de Moraes Rocha
							","
				v. 28 n. 2 (2011)
			",https://rebep.org.br/revista/article/view/72,"
					O artigo apresenta evidências da importância das características naturais das regiões metropolitanas brasileiras para as escolhas locacionais dos trabalhadores. A análise baseia-se no modelo de escolha locacional de Roback (1982), a partir do qual é derivado o valor que os trabalhadores atribuem para morar em localidades que lhe ofertem um bom consumo de amenidades naturais. Os principais resultados da pesquisa indicam que os trabalhadores estão dispostos a pagar para morar nas RMs mais próximas à costa, com os maiores índices médios anuais de precipitação, nas RMs mais úmidas, e com as maiores temperaturas médias no mês de janeiro. Por outro lado, os trabalhadores devem ser compensados monetariamente para morar nas RMs com os maiores índices médios de precipitação em setembro e com as maiores temperaturas médias em julho.
				","
									Artigos originais
						","
		As amenidades naturais influenciam a escolha locacional dos trabalhadores? Evidências para as regiões metropolitanas brasileiras
	"
142,"
								André Matos Magalhães
							",,,,,
143,"
								Ricardo Ojima
							","
				v. 28 n. 2 (2011)
			",https://rebep.org.br/revista/article/view/73,"
					A mudança climática tem sido um tema cada vez mais presente no discurso político, econômico e social. É inegável que hoje tornou-se uma questão da mais ampla relevância para toda a sociedade, mas, especialmente, para a demografia. Como parte inerente dos cenários de mudança climática, a melhor compreensão da dinâmica demográfica nesse contexto tem muito a contribuir para um debate responsável. Entretanto, ainda há lacunas a serem preenchidas dos dois lados: as ciências do clima e os estudos de população. Este artigo busca trazer elementos para deslocar o assunto da arena ambientalista para uma visão mais ampla do que poderia ser uma demografia das mudanças climáticas.
				","
									Artigos originais
						","
		As dimensões demográficas das mudanças climáticas: cenários de mudança do clima e as tendências do crescimento populacional
	"
144,"
								Diogo de Carvalho Cabral
							","
				v. 28 n. 2 (2011)
			",https://rebep.org.br/revista/article/view/74,"
					A madeira era um recurso natural indispensável ao metabolismo dos centros urbanos pré-industriais, tanto como material construtivo quanto como fonte energética. Em razão da baixa relação valor/volume dos produtos madeireiros, a espacialidade desse setor econômico era largamente determinada pelo custo de transporte. Deste modo, um arcabouço teórico que pode ser importante para a compreensão do fenômeno do abastecimento madeireiro das cidades pré-industriais é a clássica teoria de von Thünen sobre o efeito da distância do mercado sobre a estrutura da produção agrária. O artigo tem como objetivo discutir as potencialidades e limitações desta abordagem. Inicialmente, é apresentada a teoria do “Estado Isolado” e revisam-se os estudos históricos que a utilizaram, tanto como alicerce interpretativo quanto como teoria empírica. Em seguida, é formulado um modelo teórico-conceitual em que a atividade madeireira responde às variações da intensidade agrícola, procurando mostrar a utilidade desse esquema na interpretação do caso da cidade do Rio de Janeiro, no final do período colonial.
				","
									Artigos originais
						","
		Von Thünen e o abastecimento madeireiro de centros urbanos pré-industriais
	"
145,,,https://rebep.org.br/revista/article/view/75,,,
146,"
								Pery Teixeira
							","
				v. 28 n. 2 (2011)
			",https://rebep.org.br/revista/article/view/76,"
					Um levantamento sociodemográfico censitário participativo sobre a população sateré-mawé, realizado em 2002 e 2003, em duas terras indígenas e em quatro cidades situadas no oeste do Estado do Amazonas, revelou informações de relevância para a compreensão das características demográficas, econômicas, sociais e culturais daquele povo indígena. No cômputo geral, foram contados e entrevistados 7.502 indígenas nas terras indígenas e 998 nas áreas urbanas. O presente trabalho procura analisar a parcela dos dados levantados no que se refere às características sociodemográficas dos sateré-mawé, incluindo-se a estrutura etária e por sexo, a fecundidade, a mortalidade e a migração. O povo sateré-mawé apresenta uma repartição etária jovem, fruto de uma fecundidade elevada e de uma população idosa reduzida. Percebem-se intensos fluxos migratórios tanto no interior das terras indígenas onde habitam os sateré-mawé como em direção às cidades próximas, fluxos esses de caráter relativamente recente. Por sua vez, a mortalidade infantil no território indígena é elevada e espacialmente diferenciada, sendo maior nas cabeceiras de um dos dois principais rios que cortam o território sateré-mawé. Alguns elementos de determinação dos níveis e dos diferenciais da mortalidade das crianças são encontrados nas características socioeconômicas, de infraestrutura e nutricionais do povo sateré-mawé.
				","
									Artigos originais
						","
		Demografia de um povo indígena da Amazônia brasileira: os sateré-mawé
	"
147,"
								Marília Brasil
							",,,,,
148,"
								Eliana Mesquita da Silva
							",,,,,
149,"
								Gerson Luiz Marinho
							","
				v. 28 n. 2 (2011)
			",https://rebep.org.br/revista/article/view/77,"
					A caracterização dos domicílios nos levantamentos censitários, que inclui as condições de habitação, saneamento básico, entre outros aspectos, juntamente com o perfil socioeconômico dos moradores, é de grande importância em análises sobre condições de saúde. No Brasil, acumulam-se evidências de que os povos indígenas apresentam desigualdades importantes em relação a outros segmentos da sociedade, com taxas de morbimortalidade em geral mais pronunciadas. Com base nos microdados do Censo Demográfico 2000, este trabalho analisa as frequências de domicílios cujos responsáveis se autoclassificaram “indígenas” e que residiam em domicílio coletivo ou improvisado na área rural dos municípios brasileiros. Para essas duas possibilidades de classificação, não são investigadas as características dos domicílios. Na análise para os grupos de cor/raça, os “indígenas” foram os que tiveram as maiores proporções de domicílios coletivos, mais frequentes no Centro-Oeste, especificamente em Mato Grosso. As frequências de domicílios “improvisados indígenas” também foram superiores aos de não-indígenas, incluindo “brancos”, “pretos” e “pardos”. Ao contrário dos coletivos, domicílios improvisados “indígenas” ocorreram em diferentes regiões do Brasil, com destaque para municípios na macrorregião Sul e em Mato Grosso do Sul. Para os municípios localizados fora da Amazônia Legal, onde em geral as Terras Indígenas apresentam pequenas dimensões, houve 1,5 mais domicílios “indígenas” classificados como improvisados do que na Amazônia Legal. Argumenta-se que, em parte, as mais elevadas frequências de domicílios coletivos “indígenas” devam-se a problemas de classificação por parte do Censo, já que as sociedades indígenas apresentam morfologias sociais e familiares próprias. As análises indicam a necessidade de aprimorar a forma de captação dos dados sobre as características domiciliares dos “indígenas” no âmbito dos levantamentos conduzidos pelo IBGE. Somente com a geração de informações considerando a diversidade étnica existente no Brasil será possível diminuir a “invisibilidade demográfica e epidemiológica” dos povos indígenas e, consequentemente, enfrentar as desigualdades em saúde.
				","
									Artigos originais
						","
		Classificação dos domicílios “indígenas” no Censo Demográfico 2000: subsídios para a análise de condições de saúde
	"
150,"
								Ricardo Ventura Santos
							",,,,,
151,"
								Nilza de Oliveira Martins Pereira
							",,,,,
152,"
								Ernesto Friedrich de Lima Amaral
							","
				v. 28 n. 2 (2011)
			",https://rebep.org.br/revista/article/view/78,,"
									Notas de pesquisa
						","
		Análise do nível, padrão e  determinantes dos fluxos populacionais entre Bahia  e São Paulo
	"
153,"
								Gilvan Ramalho Guedes
							","
				v. 28 n. 2 (2011)
			",https://rebep.org.br/revista/article/view/79,,"
									Notas de pesquisa
						","
		Aspectos práticos na identificação de um modelo Grade of Membership (GoM) de máximo global: o uso da moda das probabilidades estimadas
	"
154,"
								Pamila Cristina Lima Siviero
							",,,,,
155,"
								Carla Jorge Machado
							",,,,,
156,"
								Thais Tartalha do Nascimento Lombardi
							","
				v. 28 n. 2 (2011)
			",https://rebep.org.br/revista/article/view/80,,"
									Resenha
						","
		Contemporaneidade, escalas e lugares – panoramas dos estudos de população e ambiente na atualidade
	"
157,"
								Paula Miranda-Ribeiro
							","
				v. 28 n. 2 (2011)
			",https://rebep.org.br/revista/article/view/81,,"
									Resenha
						","
		Encontro marcado entre demografia e religião
	"
158,"
								Luiz Antonio Pinto de Oliveira
							","
				v. 28 n. 1 (2011)
			",https://rebep.org.br/revista/article/view/82,,"
									Editorial
						","
		Primeiros resultados do Censo Demográfico 2010
	"
159,"
								Clarissa Guimarães Rodrigues
							","
				v. 28 n. 1 (2011)
			",https://rebep.org.br/revista/article/view/83,"
					É consenso na literatura de avaliação educacional que o nível socioeconômico dos alunos é o fator mais importante para explicar, em determinado ponto no tempo, as variações nos resultados escolares dos alunos avaliados pelo Sistema de Avaliação da Educação Básica – Saeb. Não se sabe, porém, em que medida a mudança temporal nas condições socioeconômicas influenciou a mudança na média e na distribuição do desempenho escolar entre os diversos ciclos do Saeb. Para investigar esta questão, utilizamos o método de decomposição contrafactual desenvolvido por Juhn, Murphy e Pierce (1993), que permite isolar a contribuição da variação na composição e retorno do nível socioeconômico sobre a variação na média e distribuição do desempenho escolar. Foram empregados os dados do Saeb de 1997 a 2005, para a coorte de alunos da 4ª série do ensino fundamental avaliados em matemática. Os principais resultados mostram que o aumento na cobertura escolar no final dos anos 1990 reduziu o nível socioeconômico médio dos alunos e colaborou para diminuir a média e elevar a desigualdade entre os resultados escolares (efeito composição). Ao mesmo tempo, houve redução na sensibilidade do desempenho escolar ao nível socioeconômico (efeito retorno). Este achado tem implicações ambíguas: por um lado, contribui para reduzir o aproveitamento escolar médio e, por outro, colabora para equalizar a distribuição dos escores entre 1997 e 2005.
				","
									Artigos originais
						","
		Diferenças intertemporais na média e distribuição do desempenho escolar no Brasil: o papel do nível socioeconômico, 1997 a 2005
	"
160,"
								Eduardo Luiz Gonçalves Rios-Neto
							",,,,,
161,"
								Cristine Campos de Xavier Pinto
							",,,,,
162,"
								Izabel Guimarães Marri
							","
				v. 28 n. 1 (2011)
			",https://rebep.org.br/revista/article/view/84,"
					Como reflexo da sua atuação diferenciada no mercado de trabalho (marcada pela menor atividade econômica e menores salários), as mulheres recebem, em média, aposentadorias menores do que os homens, são as principais recebedoras das pensões por morte (dos maridos) e constituem a maioria dos beneficiários do Benefício de Proteção Continuada – BPC. Ao mesmo tempo em que recebem menores benefícios médios, maior é a dependência econômica relativa das idosas dos benefícios previdenciários e dos rendimentos de outros membros da família em que vivem. O presente trabalho busca verificar como possíveis modificações nas regras de elegibilidade de aposentadorias, pensão por morte e BPC, frequentemente mencionadas por especialistas como necessárias ao equilíbrio orçamentário do Sistema de Previdência Social brasileiro, podem afetar as iniquidades de renda entre os sexos na velhice, incorporando mais uma dimensão relevante para a avaliação das propostas de reforma do sistema.
				","
									Artigos originais
						","
		Reforma da Previdência Social: simulações e impactos sobre os diferenciais de sexo
	"
163,"
								Simone Wajnman
							",,,,,
164,"
								Mônica Viegas Andrade
							",,,,,
165,"
								Laetícia Rodrigues de Souza
							","
				v. 28 n. 1 (2011)
			",https://rebep.org.br/revista/article/view/85,"
					O objetivo desse artigo é analisar o efeito dos filhos sobre a participação das mulheres na População Economicamente Ativa (PEA), observando a evolução temporal desse efeito desde os anos de 1990. Além disso, com base no fato de que cada filho possa apresentar um efeito diferenciado sobre a decisão de trabalho das mães, estimou-se, separadamente, o efeito do primeiro, do segundo e do terceiro (ou mais) filhos sobre a participação feminina na PEA. De maneira geral, os resultados sugerem que, independentemente da ordem de nascimento, os filhos diminuem a probabilidade de participação das mulheres no mercado de trabalho. Ademais, entre as décadas de 1990 e 2000, o efeito negativo do primeiro e segundo filhos sobre a participação feminina no mercado de trabalho perdeu magnitude, ao passo que o efeito do terceiro filho ganhou importância.
				","
									Artigos originais
						","
		A relação entre parturição e trabalho feminino no Brasil
	"
166,"
								Eduardo Luiz Gonçalves Rios-Neto
							",,,,,
167,"
								Bernardo Lanza Queiroz
							",,,,,
168,"
								Carlos Lobo
							","
				v. 28 n. 1 (2011)
			",https://rebep.org.br/revista/article/view/86,"
					A segunda metade do século passado é central na análise da distribuição espacial da população brasileira. Em poucos anos, diante do processo de urbanização e industrialização do país, resultado em boa medida da dinâmica migratória interna, grande parte da população e das atividades econômicas passou a se concentrar nos principais centros urbanos, sobretudo nos grandes aglomerados metropolitanos. Contudo, desde o final da década de 1970, alguns autores já aventavam a hipótese de reversão da polarização no Brasil, tal como formulado pelos modelos aplicados nos países desenvolvidos. Afora as recorrentes controvérsias sobre o tema, que acarretaram a difusão de expressões como “reversão da polarização”, “desconcentração concentrada”, “desenvolvimento poligonal”, entre outras, essa pesquisa tem como objetivo principal avaliar a atual magnitude da dispersão espacial da população brasileira, tendo como base as Regiões de Influência das principais metrópoles do país, conforme recorte proposto pelo IBGE. Para tanto, foram utilizadas as bases referentes aos Censos Demográficos de 1991 e 2000, que possibilitaram identificar os fluxos de população. Mesmo que os resultados não sejam conclusivos para todas as Regiões de Influência, no caso específico de São Paulo os valores para os estoques e fluxos, associados à dimensão distância, indicam a intensificação na ocupação dos espaços fora dos limites das Regiões Metropolitanas. O crescimento da emigração para a Região de Influência da metrópole paulista parece confirmar uma espécie de “dispersão polinucleada”, observando-se claros sinais de expansão no interior da Região de Influência, o que sugere o fortalecimento de determinados centros regionais e um maior dinamismo da economia local.
				","
									Artigos originais
						","
		Migrações e a dispersão espacial da população nas Regiões de Influência das principais metrópoles brasileiras
	"
169,"
								Ralfo Matos
							",,,,,
170,"
								Marcos Leandro Mondardo
							","
				v. 28 n. 1 (2011)
			",https://rebep.org.br/revista/article/view/87,"
					O Sudoeste paranaense, ao longo do século XX, teve uma dinâmica migratória em que se podem identificar três períodos distintos de evolução demográfica, por meio de um processo migratório que exerceu papel fundamental na configuração espacial: entre 1900 e 1940, a região exibia uma população dispersa e rarefeita, circunscrita em torno da econômica de subsistência; de 1940 a 1970, ocorreu a expansão acelerada da fronteira agrícola estadual, que atraiu milhares de trabalhadores e seus familiares de outras partes do país, acarretando, simultaneamente, ocupação e apropriação extensivas e intensivas; entre 1970 e 2000, a inserção do Estado do Paraná no processo de modernização da agricultura, em que o agro se tornou subordinado ao industrial, impôs uma nova divisão social e territorial do trabalho ao Sudoeste paranaense, promovendo uma rápida e drástica diminuição populacional das áreas rurais, o que estimulou vigorosamente a urbanização e provocou a formação de imensas correntes emigratórias que transpuseram as fronteiras estaduais. Com isso, o objetivo desse trabalho é analisar essa dinâmica migratória, configurada em três períodos espaço-temporais, na região Sudoeste paranaense. A partir de trabalho de campo exploratório, feito em 2008, com a realização de entrevistas semiestruturadas, análise bibliográfica, documental e censitária (especialmente em Censos Demográficos), busca-se compreender como se processou, ao longo do século XX, a dinâmica migratória por meio da atração, do reordenamento e da expulsão de população do/no Sudoeste paranaense.
				","
									Artigos originais
						","
		A dinâmica migratória do Paraná: o caso da região Sudoeste ao longo do século XX
	"
171,"
								Renilson Rodrigues da Silva
							","
				v. 28 n. 1 (2011)
			",https://rebep.org.br/revista/article/view/88,"
					Este artigo propõe uma metodologia alternativa para construção de Áreas Mínimas Comparáveis – AMC e um método de ponderação de variáveis socioeconômicas para essas AMC. A análise empírica – em particular na área de economia – das mudanças populacionais, econômicas e sociais em nível municipal é tarefa razoavelmente complexa. Isso ocorre devido às constantes emancipações de distritos a partir do desmembramento de outros municípios. O método de agregação comumente utilizado segue a mesma lógica da divisão territorial, o qual gera viés nos testes estatísticos. Neste trabalho, propõe-se um método alternativo de construção de AMC, aplicando os Polígonos de Voronoi – PV e agregando os dados por ponderação. Para testar o método proposto, avaliaram-se as mudanças populacionais ocorridas na Região Norte, entre 1980 e 2000, à luz da Nova Geografia Econômica – NGE, comparando-o com o método de AMC adotado pelo Ipea. O modelo de AMC com PV apresentou melhor ajustamento dos dados e coerência no comportamento das variáveis de acordo com a teoria. Com esse desempenho, trabalhos futuros que visem análises espaciais com o uso de PV, seguramente, deverão apresentar resultados mais satisfatórios, haja vista que por esta metodologia os dados são agrupados seguindo a lógica dos efeitos espaciais de vizinhança.
				","
									Artigos originais
						","
		Polígonos de Voronoi como alternativa aos problemas das Áreas Mínimas Comparáveis: uma análise das mudanças populacionais na Região Norte do Brasil
	"
172,"
								Carlos José Caetano Bacha
							",,,,,
173,"
								Rosa Moura
							","
				v. 28 n. 1 (2011)
			",https://rebep.org.br/revista/article/view/89,"
					A análise exploratória de dados espaciais, empregada para identificação de arranjos urbano-regionais entre os municípios brasileiros, mostrou-se adequada a estudos de conjuntos amplos de unidades observacionais (áreas), possibilitando resultados reveladores de dinâmicas territoriais e de padrões de correlações espaciais entre municípios. Associada a informações de centralidade (rede de cidades), conectividade (sistema viário principal) e densidade dos movimentos pendulares da população, evidenciou conjuntos mais amplos do que as aglomerações urbanas apontadas em estudos precedentes. Tais conjuntos correspondem a morfologias que transcendem as tradicionais aglomerações definidas por manchas contínuas de ocupação entre mais de um município, constituindo-se em categorias espaciais ainda mais complexas do ponto de vista de concentração populacional, econômica e funcional e densidade de deslocamentos de pessoas. Este artigo coloca em discussão o uso dessa técnica de análise, suas possibilidades e limitações.
				","
									Artigos originais
						","
		Aplicação da análise exploratória espacial na identificação de configurações territoriais
	"
174,"
								Sachiko Araki Lira
							",,,,,
175,"
								Marcos Vinicius Sanches Abreu
							","
				v. 28 n. 1 (2011)
			",https://rebep.org.br/revista/article/view/90,"
					A análise de indicadores socioeconômicos permite uma leitura da realidade capaz de gerar subsídios para o planejamento urbano e a gestão municipal. O Índice de Desenvolvimento Humano (IDH) é um importante mensurador do nível de desenvolvimento de um município, por aferir condições de renda, educação e longevidade, mas não é capaz de mostrar as diferenças sociais dentro do município. Neste sentido, para melhor entender a questão socioespacial urbana, a construção de indicadores locais (como o IDH setorizado) torna-se uma importante ferramenta de análise. A etodologia de cálculo deste índice foi adaptada aos dados do Censo 2000 do IBGE, disponibilizados de forma agregada por setores censitários, que constituem a menor unidade de análise territorial composta de dados censitários. De modo a compreender melhor a distribuição e continuidade espacial do IDH, este trabalho propõe a aplicação de técnicas de geoestatística aliadas ao geoprocessamento. Tem-se, portanto, a análise da continuidade espacial do IDH intraurbano, por meio do interpolador geoestatístico de Krigagem Ordinária. Esse processo permite inferir sobre o comportamento espacial do desenvolvimento humano, que possui uma variação contínua no espaço. Ressaltase que se trata de inferências não sobre os valores locais do IDH, mas sim sobre as tendências da variabilidade do indicador. Os resultados se mostraram satisfatórios, visto que é possível fazer a leitura espacial do desenvolvimento humano intraurbano a partir dos dados secundários apresentados pelo Censo.
				","
									Artigos originais
						","
		Proposta metodológica para o cálculo e análise espacial do IDH intraurbano de Viçosa – MG
	"
176,"
								Julio Cesar de Oliveira
							",,,,,
177,"
								Viviane Delfino Albuquerque Andrade
							",,,,,
178,"
								Anderson Donizete Meira
							",,,,,
179,"
								Ana Paula de Andrade Verona
							","
				v. 28 n. 1 (2011)
			",https://rebep.org.br/revista/article/view/91,"
					A religião tem se tornado um fator cada vez mais importante e presente na vida de muitos adolescentes e jovens no Brasil. Além de oferecer espaço para a manutenção de fortes interações e participação em um contexto religioso, algumas religiões têm promovido a disseminação de padrões e objetivos, bem como de sanções punitivas, em relação a muitos aspectos da vida dos seus seguidores mais jovens, incluindo o comportamento sexual. Assim, este estudo analisa como a religião pode afetar, direta e indiretamente, o comportamento sexual de adolescentes brasileiros. O principal objetivo é estabelecer uma conexão entre o referencial teórico de Christian Smith, que sugere vários mecanismos por meio dos quais a religião pode influenciar a vida de adolescentes norte-americanos, e estudos etnográficos conduzidos no Brasil e trabalhos quantitativos que investigam consequências sociais e demográficas da recente transformação religiosa que o país tem atravessado. Apesar de existirem poucas evidências empíricas sobre como os mecanismos sugeridos por Smith funcionam no Brasil, este estudo conclui que cada um deles pode ser usado para explicar potenciais efeitos da religião sobre o comportamento sexual de adolescentes brasileiros. Esta pesquisa pode incentivar a produção de estudos sobre este tópico no Brasil. Além da importância de analisar os impactos das recentes transformações religiosas no Brasil sobre os fenômenos demográficos, este tema merece uma análise mais cuidadosa por parte dos demógrafos brasileiros, já que a religião é um dos principais agentes de socialização de adolescentes e a atividade sexual é uma esfera do comportamento humano muito presente no campo religioso.
				","
									Artigos originais
						","
		Explicações para a influência da religião no comportamento sexual de adolescentes no Brasil: efeitos diretos e indiretos
	"
180,"
								Serafim Adriano Alberto
							","
				v. 28 n. 1 (2011)
			",https://rebep.org.br/revista/article/view/92,"
					Este trabalho procura descrever e analisar os fatores associados aos óbitos neonatais e pós-neonatais em Moçambique, entre 1998 e 2003, com base nas informações da Demographic and Health Survey (DHS). Foram utilizadas as distribuições de frequência das características selecionadas, segundo os segmentos neonatal e pós-neonatal. Empregou-se, também, a regressão logística de resposta binária, múltipla, com entrada sequencial das variáveis, de forma a verificar a mudança na magnitude e a significância dos coeficientes. Entre alguns resultados obtidos, destacam-se os fatores que se relacionaram de forma inequívoca ao aumento da chance de mortalidade neonatal e pós-neonatal: ser o primeiro filho; tamanho pequeno ao nascimento; e residência na região Norte. A idade da mãe entre 30 e 34 anos revelou-se elemento protetor do óbito infantil nos dois segmentos, enquanto a faixa de 10 a 19 anos apresentou-se como fator de aumento da chance do óbito pós-neonatal. O tamanho grande ao nascimento mostrou-se protetor no caso do segmento pós-neonatal, assim como a residência na região Sul. Finalmente, o parto domiciliar revelou-se deletério ao óbito pósneonatal.
				","
									Artigos originais
						","
		Fatores associados aos óbitos neonatais e pós-neonatais em Moçambique
	"
181,"
								Luciana C. de Lima
							",,,,,
182,"
								Roberto Nascimento Rodrigues
							",,,,,
183,"
								Carla Jorge Machado
							",,,,,
184,"
								Mirela Castro Santos Camargos
							","
				v. 28 n. 1 (2011)
			",https://rebep.org.br/revista/article/view/93,"
					Neste artigo procura-se estabelecer bases de argumentação para melhor entender as razões que levam um idoso a morar sozinho e como se processam as transferências (fluxo de recursos, ações e informações que se trocam e circulam) quando vive sozinho. Para tanto, são revisados e discutidos fatores determinantes dos arranjos domiciliares dos idosos, incluindo aspectos demográficos, socioeconômicos e de saúde, com ênfase nos domicílios unipessoais. Destacamse pontos que permeiam as transferências entre idosos e seus familiares, tais como características das transferências intergeracionais, diferenças entre os diversos apoios recebidos, sexo do idoso. O estudo consistiu de uma revisão narrativa, cujos resultados apontaram que melhores condições socioeconômicas e de saúde, idade mais avançada e ausência de filhos parecem contribuir para que o idoso more sozinho. Contudo, houve divergências nos resultados dos estudos analisados quanto aos fatores associados à formação de domicílios unipessoais de idosos. Embora as transferências possam se dar independentemente do arranjo domiciliar do idoso, as que ocorrem entre os membros de um mesmo domicílio parecem ser mais frequentes e, talvez por isso, mais discutidas. Os idosos que moram sozinhos, apesar de participarem das transferências, estão mais propensos a receber cuidado formal, comparativamente àqueles que residem com outras pessoas.
				","
									Artigos originais
						","
		Idoso, família e domicílio: uma revisão narrativa sobre a decisão de morar sozinho
	"
185,"
								Roberto Nascimento Rodrigues
							",,,,,
186,"
								Carla Jorge Machado
							",,,,,
187,"
								Gilvan Ramalho Guedes
							","
				v. 28 n. 1 (2011)
			",https://rebep.org.br/revista/article/view/94,,"
									Notas de pesquisa
						","
		Ciclo de vida domiciliar, ciclo do lote e mudança no uso da terra na Amazônia brasileira: revisão crítica da literatura
	"
188,"
								Bernardo Lanza Queiroz
							",,,,,
189,"
								Alisson Flávio Barbieri
							",,,,,
190,"
								Leah Karin VanWey
							",,,,,
191,"
								Maria Carolina Tomás
							","
				v. 28 n. 1 (2011)
			",https://rebep.org.br/revista/article/view/95,,"
									Resenha
						","
		Self-expression and family values: how are they related to marriage, divorce, and remarriage?
	"
192,"
								Eduardo Marandola Jr.
							","
				v. 28 n. 1 (2011)
			",https://rebep.org.br/revista/article/view/96,,"
									Resenha
						","
		Migração e Geografia
	"
193,"
								Ricardo Ojima
							","
				v. 28 n. 1 (2011)
			",https://rebep.org.br/revista/article/view/97,,"
									Resenha
						","
		Por uma demografia das mudanças climáticas
	"
194,"
								Álvaro de Oliveira D’Antona
							","
				v. 28 n. 1 (2011)
			",https://rebep.org.br/revista/article/view/98,,"
									Resenha
						","
		População, ambiente e sustentabilidade – desafio à demografia ambiental
	"
195,"
								Roberto Nascimento Rodrigues
							","
				v. 27 n. 2 (2010)
			",https://rebep.org.br/revista/article/view/99,,"
									Editorial
						","
		Editorial
	"
196,"
								Douglas Sathler
							","
				v. 27 n. 2 (2010)
			",https://rebep.org.br/revista/article/view/100,"
					O modelo Grade of Membership (GoM) é utilizado para delinear perfis, com base em um banco de dados heterogêneo e multidimensional, o que permite identificar grupos (clusters) e descrever as diferenças entre os mesmos. Neste trabalho, o GoM utiliza diversos tipos de variáveis, que objetivam uma maior compreensão da grandeza e da capacidade de influência das cidades amazônicas. Para cumprir tal tarefa, propõe-se um modelo que considera uma diversidade de aspectos que extrapolam as análises de ordem puramente econômica ou demográfica. Entender a organização hierárquica das cidades na Amazônia parece ser um exercício de grande importância para a compreensão do dinamismo e das especificidades das redes urbanas na região. Nesse sentido, parece evidente a necessidade de políticas que incentivem o estabelecimento de redes urbanas mais estruturadas na Amazônia. Uma distribuição mais equilibrada da população ao longo do território amazônico poderia trazer uma série de ganhos, sobretudo no que se refere à oferta e ao acesso a serviços de diversos tipos e níveis de sofisticação.
				","
									Artigos originais
						","
		A hierarquia urbana na Amazônia
	"
197,"
								Roberto L. Monte-Mór
							",,,,,
198,"
								José Alberto Magno de Carvalho
							",,,,,
199,"
								Alfredo Costa
							",,,,,
200,"
								Kenya Noronha
							","
				v. 27 n. 2 (2010)
			",https://rebep.org.br/revista/article/view/101,"
					Estado de saúde pode afetar o crescimento econômico por meio de pelo menos três mecanismos: diretamente, através da relação entre estado de saúde e rendimentos individuais; indiretamente, pelo efeito da saúde sobre níveis educacionais; e por meio de investimentos em capital físico. Condições precárias de saúde podem causar perdas consideráveis de renda individual, ao reduzir a produtividade do trabalho, o número de horas trabalhadas e a participação na força de trabalho, o que pode afetar o nível médio de riqueza de uma população, além de contribuir para a redução do nível de bem-estar social. O principal objetivo desse estudo é avaliar a relação entre saúde e crescimento econômico nos Estados brasileiros. A análise abrange o período entre 1991 e 2000. Para considerar diferentes perfis epidemiológicos e de morbidade observados entre os Estados, várias medidas de saúde foram selecionadas, tais como taxa de mortalidade infantil, taxa de mortalidade hospitalar devido a complicações perinatais e proporção de mortes por causas selecionadas (doenças cardiovasculares, diabetes, câncer, Aids e outras doenças transmissíveis, homicídios e causas mal-definidas). Os principais resultados mostram que, no Brasil, estado de saúde está positivamente correlacionado com crescimento econômico, havendo uma relação negativa e significativa entre crescimento econômico e indicadores de saúde que estão associados com maiores níveis de pobreza, pior acesso aos cuidados de saúde e mortes por causas evitáveis, tais como doenças transmissíveis e taxas de mortalidade devido a complicações perinatais. Por outro lado, verificou-se uma relação positiva e significativa entre crescimento econômico e proporção de mortes por diabetes e câncer.
				","
									Artigos originais
						","
		Saúde e crescimento econômico entre 1991 e 2000: uma análise empírica para os Estados brasileiros
	"
201,"
								Lízia de Figueiredo
							",,,,,
202,"
								Mônica Viegas Andrade
							",,,,,
