"link" "edicao" "autor" "paginas" "tipo_trabalho" "titulo"
"https://rebep.org.br/revista/issue/view/27" "v. 16 n. 1/2 (1999)" "José Marcos Pinto da Cunha" "83-97" "Artigos originais" "(Des)continuidades no padrão demográfico do fluxo São Paulo/Bahia no período de 1970/1991: qual o efeito da crise?"
"https://rebep.org.br/revista/issue/view/27" "v. 16 n. 1/2 (1999)" "José Teixeira Lopes Ribeiro, José Alberto Magno de Carvalho" "99-109" "Artigos originais" "A imigração para Minas Gerais no período de 1981/1991, com especial enfoque na migração de retorno"
"https://rebep.org.br/revista/issue/view/27" "v. 16 n. 1/2 (1999)" "Sidney Antonio da Silva" "111-120" "Artigos originais" "Estigma e mobilidade: o imigrante boliviano nas confecções de São Paulo"
"https://rebep.org.br/revista/issue/view/27" "v. 16 n. 1/2 (1999)" "René D. Decol" "121-137" "Artigos originais" "Mudança religiosa no Brasil: uma visão demográfica"
"https://rebep.org.br/revista/issue/view/27" "v. 16 n. 1/2 (1999)" "Maria Silvia C. Beozzo Bassanezi" "139-141" "Notas de pesquisa" "São Paulo do passado - dados demográficos (1836-2920)"
"https://rebep.org.br/revista/issue/view/27" "v. 16 n. 1/2 (1999)" "Marcelo Medeiros Coelho de Souza" "143-148" "Ponto de Vista" "Acompanhando as Conferências da ONU: notas sobre indicadores de desenvolvimento"
"https://rebep.org.br/revista/issue/view/28" "v. 17 n. 1/2 (2000)" "Elisabete Dória Bilac" "3" "Editorial" "Nota do Editor"
"https://rebep.org.br/revista/issue/view/28" "v. 17 n. 1/2 (2000)" "Eduardo L.G. Rios-Neto" "5-15" "Discurso" "Passado, presente e futuro da fecundidade: uma visão de idade, período e coorte"
"https://rebep.org.br/revista/issue/view/28" "v. 17 n. 1/2 (2000)" "Douglas Cole Libby, Clotilde Andrade Paiva" "17-46" "Artigos originais" "Alforrias e forros em uma freguesia mineira: São José d’El Rey em 1795"
"https://rebep.org.br/revista/issue/view/28" "v. 17 n. 1/2 (2000)" "Dora Isabel Paiva da Costa" "47-66" "Artigos originais" "As mulheres chefes de domicílios e a formação de famílias monoparentais: Brasil, século XIX"
"https://rebep.org.br/revista/issue/view/28" "v. 17 n. 1/2 (2000)" "Marcelo Medeiros, Rafael G. Osório" "67-85" "Artigos originais" "Mudanças na composição dos arranjos domiciliares no Brasil – 1978 a 1998"
"https://rebep.org.br/revista/issue/view/28" "v. 17 n. 1/2 (2000)" "José Alberto Magno de Carvalho, José Teixeira Lopes Ribeiro, Maria Bernardette Araújo, Cláudia Júlia Guimarães Horta" "87-96" "Artigos originais" "Dados de migração de última etapa e data fixa do Censo Demográfico Brasileiro de 1991: uma análise de consistência"
"https://rebep.org.br/revista/issue/view/28" "v. 17 n. 1/2 (2000)" "José Marcos Pinto da Cunha, Cláudio Salvadori Dedecca" "97-118" "Artigos originais" "Migração e trabalho na Região Metropolitana de São Paulo nos anos 90: uma abordagem sem preconceito"
"https://rebep.org.br/revista/issue/view/28" "v. 17 n. 1/2 (2000)" "José Irineu Rangel Rigotti" "119-140" "Artigos originais" "Estimativas de saldos e fluxos migratórios a partir do Censo Demográfico de 1991: uma aplicação para as mesorregiões de Minas Gerais"
"https://rebep.org.br/revista/issue/view/28" "v. 17 n. 1/2 (2000)" "Paulo de Martino Jannuzzi" "141-162" "Artigos originais" "Modelo alternativo para projeção de força de trabalho: dos condicionantes econômicos às taxas de atividade. Método e resultados para a Grande São Paulo em 2005"
"https://rebep.org.br/revista/issue/view/29" "v. 18 n. 1/2 (2001)" "Elisabete Dória Bilac" "5-6" "Editorial" "Nota da Editora"
"https://rebep.org.br/revista/issue/view/29" "v. 18 n. 1/2 (2001)" "José Alberto Magno de Carvalho" "7-13" "Discurso" "Para onde iremos: algumas tendências populacionais no século XXI"
"https://rebep.org.br/revista/issue/view/29" "v. 18 n. 1/2 (2001)" "Juliana de Lucena Ruas Riani" "15-33" "Artigos originais" "Impactos da estrutura etária em indicadores de educação no Brasil, 1991"
"https://rebep.org.br/revista/issue/view/29" "v. 18 n. 1/2 (2001)" "Maria Dolores Bombardelli Kappel" "35-57" "Artigos originais" "Educação infantil e grupo populacional de 0 a 6 anos"
"https://rebep.org.br/revista/issue/view/29" "v. 18 n. 1/2 (2001)" "José Irineu Rangel Rigotti" "59-73" "Artigos originais" "A transição da escolaridade no Brasil e as desigualdades regionais"
"https://rebep.org.br/revista/issue/view/29" "v. 18 n. 1/2 (2001)" "Adriana de Miranda-Ribeiro" "75-96" "Artigos originais" "Diferenciais de ingresso escolar em Minas Gerais em 1991, segundo o status migratório: uma aplicação do modelo Profluxo"
"https://rebep.org.br/revista/issue/view/29" "v. 18 n. 1/2 (2001)" "Cibele Comini César, José Francisco Soares" "97-110" "Artigos originais" "Desigualdades acadêmicas induzidas pelo contexto escolar"
"https://rebep.org.br/revista/issue/view/29" "v. 18 n. 1/2 (2001)" "Maria Eugenia Ferrão, Kaizô Iwakami Beltrão, Cristiano Fernandes, Denis Santos, Mayte Suárez, Adler do Couto Andrade" "111-130" "Artigos originais" "O SAEB – Sistema Nacional de Avaliação da Educação Básica: objetivos, características e contribuições na investigação da escola eficaz"
"https://rebep.org.br/revista/issue/view/29" "v. 18 n. 1/2 (2001)" "José Marcos Pinto da Cunha, José Roberto Rus Perez, Tirza Aidar" "131-159" "Artigos originais" "Proposta metodológica de elaboração de indicador educacional sintético para os municípios"
"https://rebep.org.br/revista/issue/view/29" "v. 18 n. 1/2 (2001)" "George Martine" "161-166" "Resenha" "Atualização do debate sobre população e meio ambiente"
"https://rebep.org.br/revista/issue/view/29" "v. 18 n. 1/2 (2001)" "Paulo Murad Saad" "167-171" "Resenha" "Os desafios propostos por uma população que envelhece"
"https://rebep.org.br/revista/issue/view/30" "v. 19 n. 1 (2002)" "Elisabete Dória Bilac" "3" "Editorial" "Nota da Editora"
"https://rebep.org.br/revista/issue/view/30" "v. 19 n. 1 (2002)" "Mary Garcia Castro" "5-28" "Artigos originais" "Violências, juventudes e educação: notas sobre o estado do conhecimento"
"https://rebep.org.br/revista/issue/view/30" "v. 19 n. 1 (2002)" "Ana Maria Goldani" "29-48" "Artigos originais" "Família, gênero e políticas: famílias brasileiras nos anos 90 e seus desafios como fator de proteção"
"https://rebep.org.br/revista/issue/view/30" "v. 19 n. 1 (2002)" "Ralfo Matos" "49-74" "Artigos originais" "A contribuição dos imigrantes em áreas de desconcentração demográfica do Brasil contemporâneo"
"https://rebep.org.br/revista/issue/view/30" "v. 19 n. 1 (2002)" "Paulo Eduardo Teixeira" "75-93" "Artigos originais" "O processo migratório na formação de Campinas: 1765-1830"
"https://rebep.org.br/revista/issue/view/30" "v. 19 n. 1 (2002)" "Ana Silvia Volpi Scott" "95-111" "Artigos originais" "Alternativas regionais e locais à emigração para o Brasil no final do século XIX: o exemplo do Concelho de Guimarães"
"https://rebep.org.br/revista/issue/view/30" "v. 19 n. 1 (2002)" "Maria Silvia C. Beozzo Bassanezi, Carlos de Almeida Prado Bacellar" "113-129" "Artigos originais" "Levantamentos de população publicados da Província de São Paulo no século XIX"
"https://rebep.org.br/revista/issue/view/30" "v. 19 n. 1 (2002)" "Myrian Coelho Cunha da Cruz, Iúri da Costa Leite" "131-140" "Artigos originais" "Fatores de risco para déficits estaturais no segundo ano de vida: Brasil, PNDS, 1996"
"https://rebep.org.br/revista/issue/view/30" "v. 19 n. 1 (2002)" "Massimo Livi Bacci" "141-159" "Ponto de Vista" "500 anos de demografia brasileira: uma resenha"
"https://rebep.org.br/revista/issue/view/30" "v. 19 n. 1 (2002)" "Wilson Fusco" "161-163" "Notas de pesquisa" "As redes sociais nas migrações internacionais: migrantes brasileiros para os Estados Unidos e o Japão"
"https://rebep.org.br/revista/issue/view/30" "v. 19 n. 1 (2002)" "Pedro Jacobi" "165-167" "Resenha" "Demografia e meio ambiente"
"https://rebep.org.br/revista/issue/view/31" "v. 19 n. 2 (2002)" "Elisabete Dória Bilac" "3" "Editorial" "Nota da Editora"
"https://rebep.org.br/revista/issue/view/31" "v. 19 n. 2 (2002)" "Martin Hopenhayn" "5-18" "Artigos originais" "A cidadania vulnerabilizada na América Latina"
"https://rebep.org.br/revista/issue/view/31" "v. 19 n. 2 (2002)" "Mary Garcia Castro, Miriam Abramovay" "19-46" "Artigos originais" "Por um novo paradigma do fazer políticas – políticas de/para/com juventudes"
"https://rebep.org.br/revista/issue/view/31" "v. 19 n. 2 (2002)" "Phillippe George Pereira Guimarães Leite, Denise Britz do Nascimento Silva" "47-63" "Artigos originais" "Análise da situação ocupacional de crianças e adolescentes nas regiões Sudeste e Nordeste do Brasil utilizando informações da PNAD 1999"
"https://rebep.org.br/revista/issue/view/31" "v. 19 n. 2 (2002)" "Jerônimo Oliveira Muniz" "65-98" "Artigos originais" "As descontinuidades demográficas exercem efeitos sobre o mercado de trabalho metropolitano dos jovens?"
"https://rebep.org.br/revista/issue/view/31" "v. 19 n. 2 (2002)" "Nancy de Deus Vieira Silva, Ana Lúcia Kassouf" "99-115" "Artigos originais" "A exclusão social dos jovens no mercado de trabalho brasileiro"
"https://rebep.org.br/revista/issue/view/31" "v. 19 n. 2 (2002)" "Mónica Franch" "117-133" "Artigos originais" "Nada para fazer? Um estudo sobre atividades no tempo livre entre jovens de periferia no Recife"
"https://rebep.org.br/revista/issue/view/31" "v. 19 n. 2 (2002)" "Kaizô Iwakami Beltrão, Ana Amélia Camarano, Solange Kanso" "135-157" "Artigos originais" "Ensino fundamental: diferenças regionais"
"https://rebep.org.br/revista/issue/view/31" "v. 19 n. 2 (2002)" "Letícia J. Marteleto" "159-177" "Artigos originais" "O papel do tamanho da família na escolaridade dos jovens"
"https://rebep.org.br/revista/issue/view/31" "v. 19 n. 2 (2002)" "Cristiane S. Cabral" "179-195" "Artigos originais" "“Gravidez na adolescência” e identidade masculina: repercussões sobre a trajetória escolar e profissional do jovem"
"https://rebep.org.br/revista/issue/view/31" "v. 19 n. 2 (2002)" "Margareth Aparecida Santini de Almeida" "197-207" "Artigos originais" "Gravidez adolescente: a diversidade das situações"
"https://rebep.org.br/revista/issue/view/31" "v. 19 n. 2 (2002)" "Russell Parry Scott, Marion Quadros, Márcia Longhi" "209-228" "Artigos originais" "Jovens populares urbanos e gênero na identificação de demandas de saúde reprodutiva"
"https://rebep.org.br/revista/issue/view/31" "v. 19 n. 2 (2002)" "Luciene A. F. de B. Longo" "229-247" "Artigos originais" "Juventude e contracepção: um estudo dos fatores que influenciam o comportamento contraceptivo das jovens brasileiras de 15 a 24 anos"
"https://rebep.org.br/revista/issue/view/31" "v. 19 n. 2 (2002)" "Rebeca de Souza e Silva" "249-261" "Artigos originais" "Especulações sobre o papel do aborto provocado no comportamento reprodutivo das jovens brasileiras"
"https://rebep.org.br/revista/issue/view/31" "v. 19 n. 2 (2002)" "Paula Miranda-Ribeiro, Ann Moore" "263-276" "Artigos originais" "Já nas bancas: a saúde reprodutiva das adolescentes vista através das revistas Querida e Capricho"
"https://rebep.org.br/revista/issue/view/31" "v. 19 n. 2 (2002)" "Maria Dirce Pinho, Elza Berquó, Kelly Adriano Oliveira, Fernanda Lopes, Luís Carlos Araújo Lima, Noeli Pereira" "277-294" "Artigos originais" "Juventudes, raça e vulnerabilidades"
"https://rebep.org.br/revista/issue/view/31" "v. 19 n. 2 (2002)" "Maria Teresa Canesin Guimarães" "295-298" "Notas de pesquisa" "Juventude, educação e campo simbólico"
"https://rebep.org.br/revista/issue/view/32" "v. 20 n. 1 (2003)" "Elisabete Dória Bilac" "3-4" "Editorial" "Nota da Editora"
"https://rebep.org.br/revista/issue/view/32" "v. 20 n. 1 (2003)" "Guaraci Adeodato Alves de Souza" "5-28" "Artigos originais" "Padrões de sucessão das gerações. Persistências e mudanças históricas"
"https://rebep.org.br/revista/issue/view/32" "v. 20 n. 1 (2003)" "José Alberto Magno de Carvalho, Charles H. Wood, Flávia Cristina Drumond Andrade" "29-42" "Artigos originais" "Notas acerca das categorias de cor dos censos e sobre a classificação subjetiva de cor no Brasil: 1980/90"
"https://rebep.org.br/revista/issue/view/32" "v. 20 n. 1 (2003)" "Luiz A. de Castro Santos" "43-62" "Artigos originais" "A vez da mulher camponesa: movimento social, identidade e saúde no Maranhão (um relato hirschmaniano)"
"https://rebep.org.br/revista/issue/view/32" "v. 20 n. 1 (2003)" "Maria Coleta Oliveira" "63-77" "Artigos originais" "Homens e contracepção: análise estatística de dados qualitativos"
"https://rebep.org.br/revista/issue/view/32" "v. 20 n. 1 (2003)" "Rosely Gomes Costa" "79-92" "Artigos originais" "Saúde e masculinidade: reflexões de uma perspectiva de gênero"
"https://rebep.org.br/revista/issue/view/32" "v. 20 n. 1 (2003)" "Samuel Kilsztajn, Anacláudia Rossbach, Marcelo Bozzini da Câmara, Manuela Santos Nunes do Carmo" "93-108" "Artigos originais" "Serviços de saúde, gastos e envelhecimento da população brasileira"
"https://rebep.org.br/revista/issue/view/32" "v. 20 n. 1 (2003)" "Maria Isabel Baltar da Rocha" "109-114" "Notas de pesquisa" "Questões da anticoncepção e do aborto na Espanha: procedimentos metodológicos de uma pesquisa"
"https://rebep.org.br/revista/issue/view/32" "v. 20 n. 1 (2003)" "Esther Hamburguer" "115-119" "Resenha" "A mídia e a produção de significados"
"https://rebep.org.br/revista/issue/view/33" "v. 20 n. 2 (2003)" "Elisabete Dória Bilac" "127-128" "Editorial" "Nota da Editora"
"https://rebep.org.br/revista/issue/view/33" "v. 20 n. 2 (2003)" "José Eustáquio Diniz Alves, Sônia Corrêa" "129-156" "Artigos originais" "Demografia e ideologia: trajetos históricos e os desafios do Cairo + 10"
"https://rebep.org.br/revista/issue/view/33" "v. 20 n. 2 (2003)" "Nathalie Reis Itaboraí" "157-176" "Artigos originais" "Trabalho feminino e mudanças na família no Brasil (1984-1996): explorando relações"
"https://rebep.org.br/revista/issue/view/33" "v. 20 n. 2 (2003)" "José Alberto Magno de Carvalho, Simone Wajnman, Cláudia Júlia Guimarães Horta" "177-205" "Artigos originais" "Construindo uma medida do total de anos vividos pelas diferentes coortes de mulheres brasileiras com filhos menores de 7 anos de idade"
"https://rebep.org.br/revista/issue/view/33" "v. 20 n. 2 (2003)" "Frederico Poley Martins Ferreira" "207-227" "Artigos originais" "A escolha por localização dos domicílios com idosos: o caso do Município de Belo Horizonte"
"https://rebep.org.br/revista/issue/view/33" "v. 20 n. 2 (2003)" "Márcia Milena Pivatto Serra" "229-239" "Artigos originais" "Algumas considerações sobre a circulação de crianças no Brasil e sua distribuição por regiões"
"https://rebep.org.br/revista/issue/view/33" "v. 20 n. 2 (2003)" "Lára de Melo Barbosa, Diana Oya Sawyer" "241-257" "Artigos originais" "AIDS: a vulnerabilidade social e a evolução da epidemia nos municípios das regiões Nordeste e Sudeste do Brasil"
"https://rebep.org.br/revista/issue/view/33" "v. 20 n. 2 (2003)" "Samuel Kilsztajn, Anacláudia Rossbach, Manuela Santos Nunes do Carmo, Gustavo Toshiaki Lopes Sugahara, Leandro Bessa Souza" "259-279" "Artigos originais" "Vítimas fatais da violência e mercado de drogas na Região Metropolitana de São Paulo"
"https://rebep.org.br/revista/issue/view/33" "v. 20 n. 2 (2003)" "Tirza Aidar" "281-302" "Artigos originais" "O impacto das causas violentas no perfil de mortalidade da população residente no Município de Campinas: 1980 a 2000"
"https://rebep.org.br/revista/issue/view/33" "v. 20 n. 2 (2003)" "Paula Miranda-Ribeiro, André Junqueira Caetano" "303-305" "Notas de pesquisa" "O Programa SRSR"
"https://rebep.org.br/revista/issue/view/33" "v. 20 n. 2 (2003)" "Paula Miranda-Ribeiro, José Alberto Magno de Carvalho" "307-310" "Resenha" "Raça e racismo no Brasil"
"https://rebep.org.br/revista/issue/view/34" "v. 21 n. 1 (2004)" "Elisabete Dória Bilac" "3-4" "Editorial" "Nota da Editora"
"https://rebep.org.br/revista/issue/view/34" "v. 21 n. 1 (2004)" "Fausto Brito" "5-20" "Artigos originais" "Crescimento demográfico e migrações na transição para o trabalho assalariado no Brasil"
"https://rebep.org.br/revista/issue/view/34" "v. 21 n. 1 (2004)" "Ana Maria Hermeto Camilo de Oliveira, Eduardo Luiz Gonçalves Rios-Neto" "21-47" "Artigos originais" "Modelos idade-período-coorte aplicados à participação na força de trabalho: em busca de uma versão parcimoniosa"
"https://rebep.org.br/revista/issue/view/34" "v. 21 n. 1 (2004)" "Cláudio Salvadori Dedecca, José Marcos Pinto da Cunha" "49-66" "Artigos originais" "Migração, trabalho e renda nos anos 90: o caso da Região Metropolitana de São Paulo"
"https://rebep.org.br/revista/issue/view/34" "v. 21 n. 1 (2004)" "André Geraldo de Moraes Simões" "67-82" "Artigos originais" "Reorganização do espaço produtivo e a “recuperação” da economia fluminense: uma análise a partir dos migrantes altamente qualificados"
"https://rebep.org.br/revista/issue/view/34" "v. 21 n. 1 (2004)" "Ralfo Matos, Rodrigo Nunes Ferreira" "83-100" "Artigos originais" "Inserção ocupacional de emigrantes das Áreas Metropolitanas de São Paulo e Rio de Janeiro"
"https://rebep.org.br/revista/issue/view/34" "v. 21 n. 1 (2004)" "Weber Soares" "101-116" "Artigos originais" "Análise de redes sociais e os fundamentos teóricos da migração internacional"
"https://rebep.org.br/revista/issue/view/34" "v. 21 n. 1 (2004)" "Alberto Augusto Eichman Jakob" "117-136" "Artigos originais" "A dinâmica intra-urbana do Município de Santos vista sob o prisma dos Censos Demográficos de 1991 e 2000"
"https://rebep.org.br/revista/issue/view/34" "v. 21 n. 1 (2004)" "David José Ahouagi Vaz de Magalhães, Eduardo Luiz Gonçalves Rios-Neto" "137-156" "Artigos originais" "Uma abordagem multinível para análise da mobilidade residencial na Região Metropolitana de Belo Horizonte"
"https://rebep.org.br/revista/issue/view/34" "v. 21 n. 1 (2004)" "Carmen Siqueira Ribeiro dos Santos Nogueira" "157-160" "Notas de pesquisa" "Trabalho infantil e famílias em regiões metropolitanas brasileiras"
"https://rebep.org.br/revista/issue/view/34" "v. 21 n. 1 (2004)" "Elisabete Dória Bilac" "161-166" "Resenha" "Plus ça change…"
"https://rebep.org.br/revista/issue/view/35" "v. 21 n. 2 (2004)" "Elisabete Dória Bilac" "171" "Editorial" "Nota da Editora"
"https://rebep.org.br/revista/issue/view/35" "v. 21 n. 2 (2004)" "Francisco Vidal Luna, Herbert S. Klein" "173-193" "Artigos originais" "Economia e sociedade escravista: Minas Gerais e São Paulo em 1830"
"https://rebep.org.br/revista/issue/view/35" "v. 21 n. 2 (2004)" "Lilia Montali" "195-216" "Artigos originais" "Rearranjos familiares de inserção, precarização do trabalho e empobrecimento"
"https://rebep.org.br/revista/issue/view/35" "v. 21 n. 2 (2004)" "Teresa Sales, Márcia Loureiro" "217-239" "Artigos originais" "Imigrantes brasileiros adolescentes e de segunda geração em Massachusetts, EUA"
"https://rebep.org.br/revista/issue/view/35" "v. 21 n. 2 (2004)" "Eduardo Magalhães Ribeiro, Flávia Maria Galizoni, Thiago de Paula Assis" "241-258" "Artigos originais" "Os caminhos de São Paulo: migrações e trabalho urbano de agricultores mineiros"
"https://rebep.org.br/revista/issue/view/35" "v. 21 n. 2 (2004)" "Ricardo Alexandrino Garcia, Mauro Borges Lemos, José Alberto Magno de Carvalho" "259-281" "Artigos originais" "As transformações das áreas de influência migratória dos pólos econômicos brasileiros nos períodos 1980-1991 e 1991-2000"
"https://rebep.org.br/revista/issue/view/35" "v. 21 n. 2 (2004)" "Ernesto Friedrich de Lima Amaral, Roberto do Nascimento Rodrigues, Moema Gonçalves Bueno Fígoli" "283-301" "Artigos originais" "Métodos e técnicas de mensuração de movimentos migratórios: Goiás e Distrito Federal, 1975-1979 e 1986-1990"
"https://rebep.org.br/revista/issue/view/35" "v. 21 n. 2 (2004)" "Marcelo Côrtes Neri, Wagner Lopes Soares" "303-321" "Artigos originais" "Idade, incapacidade e o número de pessoas com deficiência"
"https://rebep.org.br/revista/issue/view/35" "v. 21 n. 2 (2004)" "Nelson Otávio Beltrão Campos, Roberto do Nascimento Rodrigues" "323-342" "Artigos originais" "Ritmo de declínio nas taxas de mortalidade dos idosos nos estados do Sudeste, 1980-2000"
"https://rebep.org.br/revista/issue/view/35" "v. 21 n. 2 (2004)" "José Marcos Pinto da Cunha" "343-347" "Notas de pesquisa" "Um sentido para a vulnerabilidade sociodemográfica nas metrópoles paulistas"
"https://rebep.org.br/revista/issue/view/35" "v. 21 n. 2 (2004)" "Dora Isabel Paiva da Costa" "349-351" "Resenha" "As outras faces da família brasileira"
"https://rebep.org.br/revista/issue/view/36" "v. 22 n. 1 (2005)" "Carlos Eugenio de Carvalho Ferreira" "3-4" "Editorial" "Nota do Editor"
"https://rebep.org.br/revista/issue/view/36" "v. 22 n. 1 (2005)" "Mary Garcia Castro" "5-28" "Artigos originais" "Estranhamentos e identidades Direitos humanos, cidadania e o sujeito migrante Representações em textos diversos"
"https://rebep.org.br/revista/issue/view/36" "v. 22 n. 1 (2005)" "Eduardo Marandola Jr., Daniel Joseph Hogan" "29-53" "Artigos originais" "Vulnerabilidades e riscos: entre geografia e demografia"
"https://rebep.org.br/revista/issue/view/36" "v. 22 n. 1 (2005)" "Maria Célia Silva Caiado" "55-88" "Artigos originais" "Estruturação intra-urbana na região do Distrito Federal e entorno: a mobilidade e a segregação socioespacial da população"
"https://rebep.org.br/revista/issue/view/36" "v. 22 n. 1 (2005)" "Gustavo Henrique Naves Givisiez, Diana Oya Sawyer" "89-112" "Artigos originais" "Estimativas de indicadores de escolarização com base na compatibilização de diferentes fontes de dados"
"https://rebep.org.br/revista/issue/view/36" "v. 22 n. 1 (2005)" "Marisa Alves Lacerda, Paula Miranda-Ribeiro, André Junqueira Caetano, Carla Jorge Machado" "113-129" "Artigos originais" "Mensuração e perfis de demanda insatisfeita por contracepção nos municípios de Belo Horizonte e Recife, 2002"
"https://rebep.org.br/revista/issue/view/36" "v. 22 n. 1 (2005)" "Cláudia Júlia Guimarães Horta, José Alberto Magno de Carvalho, Olinto José Oliveira Nogueira" "131-140" "Artigos originais" "Evolução do comportamento reprodutivo da mulher brasileira – 1991-2000 Cálculo da Taxa de Fecundidade Total em nível municipal"
"https://rebep.org.br/revista/issue/view/36" "v. 22 n. 1 (2005)" "Lára de Melo Barbosa, Geraldo Henrique Nascimento de Melo" "141-158" "Artigos originais" "Avaliação da qualidade das informações sobre fecundidade provenientes do SINASC no Nordeste, 2000"
"https://rebep.org.br/revista/issue/view/36" "v. 22 n. 1 (2005)" "Ricardo Alexandrino Garcia, Adriana de Miranda-Ribeiro" "159-175" "Artigos originais" "Movimentos migratórios em Minas Gerais: efeitos diretos e indiretos da migração de retorno – 1970-1980, 1981-1991 e 1990-2000"
"https://rebep.org.br/revista/issue/view/36" "v. 22 n. 1 (2005)" "Sonia Corrêa, José Eustáquio Diniz Alves" "177-189" "Ponto de Vista" "As Metas de Desenvolvimento do Milênio: grandes limites, oportunidades estreitas?"
"https://rebep.org.br/revista/issue/view/36" "v. 22 n. 1 (2005)" "Cássio Maldonado Turra, Bernardo Lanza Queiroz" "191-194" "Notas de pesquisa" "Transferências intergeracionais: uma análise internacional"
"https://rebep.org.br/revista/issue/view/36" "v. 22 n. 1 (2005)" "Eliane Cristina Deckmann Fleck, Ana Paula Korndörfer, Aline Kassick Cadaviz" "195-199" "Notas de pesquisa" "Da agressão à assistência, da infração à correção: menoridade e violência urbana (Porto Alegre, 1890-1920)"
"https://rebep.org.br/revista/issue/view/36" "v. 22 n. 1 (2005)" "Carlos Eugenio de Carvalho Ferreira" "201-204" "Resenha" "Construindo a demografia dos povos indígenas"
"https://rebep.org.br/revista/issue/view/37" "v. 22 n. 2 (2005)" "Carlos Eugenio de Carvalho Ferreira" "211-212" "Editorial" "Nota do Editor"
"https://rebep.org.br/revista/issue/view/37" "v. 22 n. 2 (2005)" "Neide Lopes Patarra, Elisabete Dória Bilac" "213-231" "Artigos originais" "Revista Brasileira de Estudos de População: do nascimento à pós-maioridade"
"https://rebep.org.br/revista/issue/view/37" "v. 22 n. 2 (2005)" "Elza Berquó, Maria Isabel Baltar da Rocha" "233-246" "Artigos originais" "A Abep no contexto político e no desenvolvimento da demografia nas décadas de 1960 e 1970"
"https://rebep.org.br/revista/issue/view/37" "v. 22 n. 2 (2005)" "Maria Coleta Ferreira Albino de Oliveira, Ricardo Antônio Wanderley Tavares" "247-255" "Artigos originais" "Registros e memória: algumas observações sobre a demografia brasileira no contexto latino-americano"
"https://rebep.org.br/revista/issue/view/37" "v. 22 n. 2 (2005)" "George Martine" "257-275" "Artigos originais" "O papel dos organismos internacionais na evolução dos estudos populacionais no Brasil: notas preliminares"
"https://rebep.org.br/revista/issue/view/37" "v. 22 n. 2 (2005)" "Diana Oya Sawyer, Duval Magalhães Fernandes" "277-289" "Artigos originais" "O ensino da demografia e a formação de demógrafos no Brasil"
"https://rebep.org.br/revista/issue/view/37" "v. 22 n. 2 (2005)" "Luiz Antonio Pinto de Oliveira, Celso Cardoso da Silva Simões" "291-302" "Artigos originais" "O IBGE e as pesquisas populacionais"
"https://rebep.org.br/revista/issue/view/37" "v. 22 n. 2 (2005)" "Paulo de Tarso Almeida Paiva, Simone Wajnman" "303-322" "Artigos originais" "Das causas às conseqüências econômicas da transição demográfica no Brasil"
"https://rebep.org.br/revista/issue/view/37" "v. 22 n. 2 (2005)" "Daniel Joseph Hogan" "323-338" "Artigos originais" "Mobilidade populacional, sustentabilidade ambiental e vulnerabilidade social"
"https://rebep.org.br/revista/issue/view/37" "v. 22 n. 2 (2005)" "Carlos de Almeida Prado Bacellar, Ana Silvia Volpi Scott, Maria Silvia Casagrande Beozzo Bassanezi" "339-350" "Artigos originais" "Quarenta anos de demografia histórica"
"https://rebep.org.br/revista/issue/view/37" "v. 22 n. 2 (2005)" "José Alberto Magno de Carvalho, Fausto Brito" "351-369" "Artigos originais" "A demografia brasileira e o declínio da fecundidade no Brasil: contribuições, equívocos e silêncios"
"https://rebep.org.br/revista/issue/view/37" "v. 22 n. 2 (2005)" "Eduardo Luiz Gonçalvez Rios-Neto" "371-408" "Artigos originais" "Questões emergentes na análise demográfica: o caso brasileiro"
"https://rebep.org.br/revista/issue/view/38" "v. 23 n. 1 (2006)" "Carlos Eugenio de Carvalho Ferreira" "3-4" "Editorial" "Nota do Editor"
"https://rebep.org.br/revista/issue/view/38" "v. 23 n. 1 (2006)" "Laura L. Rodríguez Wong, José Alberto Carvalho" "5-26" "Artigos originais" "O rápido processo de envelhecimento populacional do Brasil: sérios desafios para as políticas públicas"
"https://rebep.org.br/revista/issue/view/38" "v. 23 n. 1 (2006)" "Haroldo da Gama Torres" "27-42" "Artigos originais" "Demografia urbana e políticas sociais"
"https://rebep.org.br/revista/issue/view/38" "v. 23 n. 1 (2006)" "Humberto Prates da Fonseca Alves" "43-59" "Artigos originais" "Vulnerabilidade socioambiental na metrópole paulistana: uma análise sociodemográfica das situações de sobreposição espacial de problemas e riscos sociais e ambientais"
"https://rebep.org.br/revista/issue/view/38" "v. 23 n. 1 (2006)" "Kaizô Iwakami Beltrão, Sonoe Sugahara" "61-85" "Artigos originais" "Permanentemente temporário: dekasseguis brasileiros no Japão"
"https://rebep.org.br/revista/issue/view/38" "v. 23 n. 1 (2006)" "José Marcos Pinto da Cunha" "87-107" "Artigos originais" "Dinâmica migratória e o processo de ocupação do Centro-Oeste brasileiro: o caso de Mato Grosso"
"https://rebep.org.br/revista/issue/view/38" "v. 23 n. 1 (2006)" "Elzira Lúcia de Oliveira, Eduardo Luiz Gonçalves Rios-Neto, Ana Maria Hermeto Camilo de Oliveira" "109-127" "Artigos originais" "Transições dos jovens para o mercado de trabalho, primeiro filho e saída da escola: o caso brasileiro"
