,autor,edicao,link,paginas,tipo_trabalho,titulo
167,"
			Nadya Araujo Castro
		",,,"
				225-234
			",,"
			Trabalho e reprodução cotidiana: novas evidências empríricas e tematizações emergentes no debate brasileiro
					"
168,"
			Marta Maria Azevedo
		","
									v. 11 n. 2 (1994)
							",https://rebep.org.br/revista/issue/view/19,"
				235-244
			","
					Notas de pesquisa
				","
			Demografia dos povos indígenas do Alto Rio Negro
					"
169,"
			Eugenia Troncoso Leone
		",,,"
				245-247
			",,"
			Pobreza e trabalho no Brasil: uma análise das condições de vida e ocupação das famílias agrícolas nos anos 80
					"
170,"
			Paulo de Martino Jannuzzi
		",,,"
				249-254
			",,"
			O uso da  estatística na pesquisa em Ciências Humanas no Brasil: o caso da Demografia
					"
171,"
			Maria Teresa A. Olinto
		",,,"
				255-258
			",,"
			Estimativa da frequencia de abortos induzidos: teste de uma metodologia
					"
172,"
			Ana Cristina Braga Marte
		","
									v. 11 n. 2 (1994)
							",https://rebep.org.br/revista/issue/view/19,"
				259-260
			","
					Resenha
				","
			Limits of citizenship - migrants and post-national membership in Europe
					"
173,"
			Marcio Ferreira da Silva
		","
									v. 11 n. 2 (1994)
							",https://rebep.org.br/revista/issue/view/19,"
				261-264
			","
					Ponto de Vista
				","
			A demografia e os povos indígenas no Brasil
					"
174,"
			J. A. Lindgren Alves
		","
									v. 12 n. 1/2 (1995)
							",https://rebep.org.br/revista/issue/view/21,"
				3-20
			","
					Artigos originais
				","
			A conferência do cairo sobre População e Desenvolvimento e o paradigma de Huntington
					"
175,"
			Fausto Brito
		",,,"
				21-34
			",,"
			Ensaio sobre as migrações internacionais no desenvolvimento do capitalismo
					"
176,"
			Ralfo Matos
		",,,"
				35-58
			",,"
			Questões teóricas acerca dos processos de concentração e desconcentração da população no espaço
					"
177,"
			José Marcos Pinto da Cunha
		",,,"
				59-80
			",,"
			Migração intrametropolitana: movimentos dos pobres?
					"
178,"
			Ana Amélia Camarano, Kaizô Beltrão
		",,,"
				81-112
			",,"
			Dinâmica demográfica por nível de renda
					"
179,"
			Neir Antunes Paes
		",,,"
				113-132
			",,"
			Geração de um modelo de tábuas de vida representativo da mortalidade do Estado de São Paulo
					"
180,"
			José Flávio Motta
		",,,"
				133-149
			",,"
			A demografia histórica no Brasil: contribuições à historiografia
					"
181,"
			Manolo Garcia Florentino, José Roberto Góes
		",,,"
				151-168
			",,"
			Parentesco e família entre os escravos no século XIX: um estudo de caso
					"
182,"
			Alain Bideau, Sergio Odilon Nadalin
		",,,"
				169-180
			",,"
			Um ensaio sobre o tema da fecundidade diferencial: famílias estáveis e famílias (i)migrantes
					"
183,"
			Sergio Odilon Nadalin
		","
									v. 12 n. 1/2 (1995)
							",https://rebep.org.br/revista/issue/view/21,"
				181-192
			","
					Notas de pesquisa
				","
			Gestão e análise da população: por uma hitória demográfica dos contatos culturais em Curitiba: 1866-1939
					"
184,"
			Marco Aurélio Monteiro Pereira
		",,,"
				193-200
			",,"
			Reconstrução de famílias no microcomputador: o SYGAP
					"
185,"
			Roberto Luiz do Carmo, Daniel Joseph Hogan
		","
									v. 12 n. 1/2 (1995)
							",https://rebep.org.br/revista/issue/view/21,"
				201-204
			","
					Resenha
				","
			O desafio do desenvolvimento humano
					"
186,"
			Elza Berquó
		","
									v. 12 n. 1/2 (1995)
							",https://rebep.org.br/revista/issue/view/21,"
				205-207
			","
					Ponto de Vista
				","
			Pronunciamento de Elza Berquó na solenidade de posse da presidência da Comissão Nacional de População e Desenvolvimento
					"
187,"
			José Alberto Magno de Carvalho
		","
									v. 13 n. 1 (1996)
							",https://rebep.org.br/revista/issue/view/22,"
				3-14
			","
					Artigos originais
				","
			O saldo dos fluxos migratórios internacionais do Brasil na década de 80 - uma tentativa de estimação
					"
188,"
			Maria Stella Ferreira Levy
		",,,"
				15-41
			",,"
			Cem anos de movimentos populacionais: São Paulo em destaque
					"
189,"
			Maria do Rosário Rolfsen Salles
		",,,"
				43-65
			",,"
			Os médicos italianos em São Paulo (1890-1930) - um projeto de ascensão social
					"
190,"
			Afonso Henriques Borges Ferreira
		",,,"
				67-78
			",,"
			Os movimento migratórios e as diferenças de renda per capita entre os estados no Brasil (1970-1980)
					"
191,"
			Neide Patarra, Rosana Baeninger, Lucia Maria Machado Bogus
		","
									v. 13 n. 1 (1996)
							",https://rebep.org.br/revista/issue/view/22,"
				79-85
			","
					Notas de pesquisa
				","
			Migração, emprego e projeções demográficas para o Estado de São Paulo: pesquisa regional por amostra domiciliar
					"
192,"
			Teresa Sales
		",,,"
				87-98
			",,"
			Migrações de fronteira entre o Brasil e os países do Mercosul
					"
193,"
			Elisa Massae Sasaki
		",,,"
				99-100
			",,"
			Os dekasseguis retornados
					"
194,"
			Aurilio Sérgio Costa Caiado
		","
									v. 13 n. 1 (1996)
							",https://rebep.org.br/revista/issue/view/22,"
				101-106
			","
					Resenha
				","
			A inserção do Brasil no novo ciclo internacional de migrações
					"
195,"
			Rosana Baeninger
		",,,"
				107-109
			",,"
			Globalização e urbanização: tendências e desafios para a virada do século
					"
196,"
			Neide Lopes Patarra
		","
									v. 13 n. 1 (1996)
							",https://rebep.org.br/revista/issue/view/22,"
				111-113
			","
					Ponto de Vista
				","
			Migrações internacionais: uma nova questão demográfica
					"
197,"
			Sonia Rocha
		","
									v. 13 n. 2 (1996)
							",https://rebep.org.br/revista/issue/view/23,"
				117-133
			","
					Artigos originais
				","
			Renda e pobreza: os impactos do Plano real
					"
198,"
			Ernesto Rodríguez Chávez
		",,,"
				135-167
			",,"
			A crise migratória do verão de 1994. Balanço e perspectivas do fluxo emigratório cubano: 1984-1996
					"
199,"
			Neir Antunes Paes
		",,,"
				169-182
			",,"
			Representação de modelos padrões de mortalidade
					"
200,"
			Manolo Florentino, José Roberto Góes
		",,,"
				183-198
			",,"
			Parentesco, estabilidade familiar e ocupação entre os escravos: o caso do meio rural fluminense entre 1790 e 1830
					"
201,"
			Nelson de Castro Senra
		",,,"
				199-205
			",,"
			A questão dos registros administrativos vis-à-vis a geração de estatísticas
					"
202,"
			Alessandra Silveira
		","
									v. 13 n. 2 (1996)
							",https://rebep.org.br/revista/issue/view/23,"
				207-209
			","
					Notas de pesquisa
				","
			Laços de família: um estudo sobre as relações de parentesco entre escravos na cidade do Rio de Janeiro, 1730-1814
					"
203,"
			George Martine
		","
									v. 13 n. 2 (1996)
							",https://rebep.org.br/revista/issue/view/23,"
				211-216
			","
					Resenha
				","
			A badalação recente sobre capacidade de carga: novas ideias ou nova roupagem?
					"
204,"
			René Decol
		",,,"
				217-221
			",,"
			Dando boas-vindas aos indesejáveis
					"
205,"
			Malvina Muskat
		",,,"
				223-224
			",,"
			A família como espelho
					"
206,"
			Rodolpho Telarolli Junior
		","
									v. 14 n. 1/2 (1997)
							",https://rebep.org.br/revista/issue/view/24,"
				3-17
			","
					Artigos originais
				","
			Assistência sanitária e condições de saúde na zona rural paulista na Primeira República
					"
207,"
			José Renato de Campos Araújo
		",,,"
				19-50
			",,"
			O Palestra Itália e sua trajetória: associativismo e etnicidade
					"
208,"
			Judicael Clevelario Júnior
		",,,"
				51-71
			",,"
			A participação da imigração na formação da população brasileira
					"
209,"
			Carlos Aurélio Pimenta de Faria
		",,,"
				73-95
			",,"
			A ""questão populacional"" e a conformação do Estado de Bem-Estar Social na Suécia
					"
210,"
			Maria Silvia C. Beozzo Bassanezi
		","
									v. 14 n. 1/2 (1997)
							",https://rebep.org.br/revista/issue/view/24,"
				97-100
			","
					Dossiê
				","
			Repensando a demografia histórica
					"
211,"
			David S. Reher
		",,,"
				101-124
			",,"
			Desafios e conquistas da demografia histórica no final do século
					"
212,"
			Maria Luiza Marcílio
		",,,"
				125-143
			",,"
			A demografia histórica brasileira nesse final de milênio
					"
213,"
			Sergio Odilon Nadalin
		",,,"
				145-149
			",,"
			A propósito de um balanço da demografia histórica: notas para um debate
					"
214,"
			José Flávio Motta, Iraci del Nero da Costa
		",,,"
				151-158
			",,"
			Demografia histórica: da semeadura à colheita
					"
215,"
			Paulo Murad Saad
		","
									v. 14 n. 1/2 (1997)
							",https://rebep.org.br/revista/issue/view/24,"
				159-167
			","
					Notas de pesquisa
				","
			Transferência de apoio entre o idoso e a família no Nordeste e no Sudeste do Brasil
					"
216,"
			Maria Beatriz de Albuquerque David, Philippe Waniez, Violette Brustlein
		",,,"
				169-184
			",,"
			Situação social e demográfica dos beneficiários da reforma agrária
					"
217,"
			Roberto Nascimento
		","
									v. 14 n. 1/2 (1997)
							",https://rebep.org.br/revista/issue/view/24,"
				185-187
			","
					Ponto de Vista
				","
			Seminário de migrações internas
					"
218,"
			Isabela Gomes Carneiro, Ana Amélia Camarano
		","
									v. 14 n. 1/2 (1997)
							",https://rebep.org.br/revista/issue/view/24,"
				189-191
			","
					Resenha
				","
			SRETZER, Simon. Fertility, class and gender in Britain 1860-1940, Cambridge Studies in Population, Economy and Society in Pas Time. Cambridge University Press, 1996
					"
219,"
			Rita Badiani
		",,,"
				193
			",,"
			Políticas, instituições e AIDS
					"
220,"
			Luzinete Simões Minella
		","
									v. 15 n. 1 (1998)
							",https://rebep.org.br/revista/issue/view/25,"
				3-22
			","
					Artigos originais
				","
			A produção científica sobre a esterilização feminina no Brasil nos anos 80 e no início dos 90: um debate em aberto
					"
221,"
			Laura L. Rodriguez Wong, Rita Badiani, Ines Quental
		",,,"
				23-42
			",,"
			Achados e perdidos sobre saúde reprodutiva na PNDS - 1996
					"
222,"
			Ignez Helena Oliva Perpétuo
		",,,"
				43-56
			",,"
			Contraconcepção e declínio da fecundidade na Região Nordeste, 1980-1996
					"
223,"
			Maria Cristina Gomes da Conceição
		",,,"
				57-78
			",,"
			Vida em família e institucionalização em um contexto de envelhecimento populacional - o caso do México
					"
224,"
			Morvan de Mello Moreira
		",,,"
				79-94
			",,"
			O envelhecimento da população brasileira: intensidade, feminização e dependência
					"
225,"
			Moema G. Bueno Fígoli
		",,,"
				95-113
			",,"
			Modelando e projetando a mortalidade no Brasil
					"
226,"
			Ana Maria Nogales Vasconcelos
		","
									v. 15 n. 1 (1998)
							",https://rebep.org.br/revista/issue/view/25,"
				115-124
			","
					Notas de pesquisa
				","
			A qualidade das estatísticas de óbitos no Brasil
					"
227,"
			Hildete Pereira de Melo
		",,,"
				125-132
			",,"
			O serviço doméstico remunerado no Brasil: de criadas a trabalhadoras
					"
228,"
			Elaine Rocha
		","
									v. 15 n. 1 (1998)
							",https://rebep.org.br/revista/issue/view/25,"
				133-137
			","
					Resenha
				","
			As idéias e os números do gênero Argentina, Brasil e Chile no Século XIX
					"
229,"
			José Marcos Pinto da Cunha
		","
									v. 15 n. 2 (1998)
							",https://rebep.org.br/revista/issue/view/26,"
				5
			","
					Introdução
				","
			Introdução
					"
230,"
			José Alberto Magno de Carvalho, José Irineu Rangel Rigotti
		","
									v. 15 n. 2 (1998)
							",https://rebep.org.br/revista/issue/view/26,"
				7-17
			","
					Artigos originais
				","
			Os dados censitários brasileiros sobre migrações internas: algumas sugestões para análise
					"
231,"
			Paulo de Martino Jannuzzi
		",,,"
				19-44
			",,"
			Perfis etários da migração por motivos e acompanhanntes da mudança: evidências empíricas para São Paulo entre 1980 e 1993
					"
232,"
			Ana Amélia Camarano, Ricardo Abramovay
		",,,"
				45-65
			",,"
			Exodo rural, envelhecimento e masculinização no Brasil: panorama dos últimos cinquenta anos
					"
233,"
			Rosana Baeninger
		",,,"
				67-81
			",,"
			Deslocamentos populacionais, urbanização e regionalização
					"
234,"
			Daniel Joseph Hogan
		",,,"
				83-92
			",,"
			Mobilidade populacional e meio ambiente
					"
235,"
			Alfonso Rodriguez Arias
		","
									v. 15 n. 2 (1998)
							",https://rebep.org.br/revista/issue/view/26,"
				93-101
			","
					Notas de pesquisa
				","
			Sobre os processos de seleção e estimação utilizados na Pesquisa Nacional por Amostra de Domicílios
					"
236,"
			Claudio Salvadori Dedecca
		",,,"
				103-114
			",,"
			A pesquisa nacional por amosta de domicílios - PNAD Síntese Metodológica
					"
237,"
			Ana Cristina Braga Martes
		","
									v. 15 n. 2 (1998)
							",https://rebep.org.br/revista/issue/view/26,"
				115-118
			","
					Resenha
				","
			Imigrantes brasileiros na Argentina: um perfil sociodemográfico
					"
238,"
			Tamás Szmrecsányi
		","
									v. 16 n. 1/2 (1999)
							",https://rebep.org.br/revista/issue/view/27,"
				3-17
			","
					Artigos originais
				","
			Da aritmética política à demografia como ciência
					"
239,"
			Thompson Almeida Andrade, Rodrigo Valente Serra
		",,,"
				19-42
			",,"
			O recente desempenho das cidades médias no crescimento populacional urbano brasileiro
					"
240,"
			Herton Ellery Araújo, Carlos Alberto Ramos
		",,,"
				43-54
			",,"
			Fluxos migratórios, desemprego e diferenciais de renda
					"
241,"
			Paulo de Martino Jannuzzi
		",,,"
				55-82
			",,"
			Mobilidade social e migração no Brasil: revisão bibliográfica e elementos empíricos para análise
					"
242,"
			José Marcos Pinto da Cunha
		",,,"
				83-97
			",,"
			(Des)continuidades no padrão demográfico do fluxo São Paulo/Bahia no período de 1970/1991: qual o efeito da crise?
					"
243,"
			José Teixeira Lopes Ribeiro, José Alberto Magno de Carvalho
		",,,"
				99-109
			",,"
			A imigração para Minas Gerais no período de 1981/1991, com especial enfoque na migração de retorno
					"
244,"
			Sidney Antonio da Silva
		",,,"
				111-120
			",,"
			Estigma e mobilidade: o imigrante boliviano nas confecções de São Paulo
					"
245,"
			René D. Decol
		",,,"
				121-137
			",,"
			Mudança religiosa no Brasil: uma visão demográfica
					"
246,"
			Maria Silvia C. Beozzo Bassanezi
		","
									v. 16 n. 1/2 (1999)
							",https://rebep.org.br/revista/issue/view/27,"
				139-141
			","
					Notas de pesquisa
				","
			São Paulo do passado - dados demográficos (1836-2920)
					"
247,"
			Marcelo Medeiros Coelho de Souza
		","
									v. 16 n. 1/2 (1999)
							",https://rebep.org.br/revista/issue/view/27,"
				143-148
			","
					Ponto de Vista
				","
			Acompanhando as Conferências da ONU: notas sobre indicadores de desenvolvimento
					"
248,"
			Elisabete Dória Bilac
		","
									v. 17 n. 1/2 (2000)
							",https://rebep.org.br/revista/issue/view/28,"
				3
			","
					Editorial
				","
			Nota do Editor
					"
249,"
			Eduardo L.G. Rios-Neto
		","
									v. 17 n. 1/2 (2000)
							",https://rebep.org.br/revista/issue/view/28,"
				5-15
			","
					Discurso
				","
			Passado, presente e futuro da fecundidade: uma visão de idade, período e coorte
					"
250,"
			Douglas Cole Libby, Clotilde Andrade Paiva
		","
									v. 17 n. 1/2 (2000)
							",https://rebep.org.br/revista/issue/view/28,"
				17-46
			","
					Artigos originais
				","
			Alforrias e forros em uma freguesia mineira: São José d’El Rey em 1795
					"
251,"
			Dora Isabel Paiva da Costa
		",,,"
				47-66
			",,"
			As mulheres chefes de domicílios e a formação de famílias monoparentais: Brasil, século XIX
					"
252,"
			Marcelo Medeiros, Rafael G. Osório
		",,,"
				67-85
			",,"
			Mudanças na composição dos arranjos domiciliares no Brasil – 1978 a 1998
					"
253,"
			José Alberto Magno de Carvalho, José Teixeira Lopes Ribeiro, Maria Bernardette Araújo, Cláudia Júlia Guimarães Horta
		",,,"
				87-96
			",,"
			Dados de migração de última etapa e data fixa do Censo Demográfico Brasileiro de 1991: uma análise de consistência
					"
254,"
			José Marcos Pinto da Cunha, Cláudio Salvadori Dedecca
		",,,"
				97-118
			",,"
			Migração e trabalho na Região Metropolitana de São Paulo nos anos 90: uma abordagem sem preconceito
					"
255,"
			José Irineu Rangel Rigotti
		",,,"
				119-140
			",,"
			Estimativas de saldos e fluxos migratórios a partir do Censo Demográfico de 1991: uma aplicação para as mesorregiões de Minas Gerais
					"
256,"
			Paulo de Martino Jannuzzi
		",,,"
				141-162
			",,"
			Modelo alternativo para projeção de força de trabalho: dos condicionantes econômicos às taxas de atividade. Método e resultados para a Grande São Paulo em 2005
					"
257,"
			Elisabete Dória Bilac
		","
									v. 18 n. 1/2 (2001)
							",https://rebep.org.br/revista/issue/view/29,"
				5-6
			","
					Editorial
				","
			Nota da Editora
					"
258,"
			José Alberto Magno de Carvalho
		","
									v. 18 n. 1/2 (2001)
							",https://rebep.org.br/revista/issue/view/29,"
				7-13
			","
					Discurso
				","
			Para onde iremos: algumas tendências populacionais no século XXI
					"
259,"
			Juliana de Lucena Ruas Riani
		","
									v. 18 n. 1/2 (2001)
							",https://rebep.org.br/revista/issue/view/29,"
				15-33
			","
					Artigos originais
				","
			Impactos da estrutura etária em indicadores de educação no Brasil, 1991
					"
260,"
			Maria Dolores Bombardelli Kappel
		",,,"
				35-57
			",,"
			Educação infantil e grupo populacional de 0 a 6 anos
					"
261,"
			José Irineu Rangel Rigotti
		",,,"
				59-73
			",,"
			A transição da escolaridade no Brasil e as desigualdades regionais
					"
262,"
			Adriana de Miranda-Ribeiro
		",,,"
				75-96
			",,"
			Diferenciais de ingresso escolar em Minas Gerais em 1991, segundo o status migratório: uma aplicação do modelo Profluxo
					"
263,"
			Cibele Comini César, José Francisco Soares
		",,,"
				97-110
			",,"
			Desigualdades acadêmicas induzidas pelo contexto escolar
					"
264,"
			Maria Eugenia Ferrão, Kaizô Iwakami Beltrão, Cristiano Fernandes, Denis Santos, Mayte Suárez, Adler do Couto Andrade
		",,,"
				111-130
			",,"
			O SAEB – Sistema Nacional de Avaliação da Educação Básica: objetivos, características e contribuições na investigação da escola eficaz
					"
265,"
			José Marcos Pinto da Cunha, José Roberto Rus Perez, Tirza Aidar
		",,,"
				131-159
			",,"
			Proposta metodológica de elaboração de indicador educacional sintético para os municípios
					"
266,"
			George Martine
		","
									v. 18 n. 1/2 (2001)
							",https://rebep.org.br/revista/issue/view/29,"
				161-166
			","
					Resenha
				","
			Atualização do debate sobre população e meio ambiente
					"
267,"
			Paulo Murad Saad
		",,,"
				167-171
			",,"
			Os desafios propostos por uma população que envelhece
					"
268,"
			Elisabete Dória Bilac
		","
									v. 19 n. 1 (2002)
							",https://rebep.org.br/revista/issue/view/30,"
				3
			","
					Editorial
				","
			Nota da Editora
					"
269,"
			Mary Garcia Castro
		","
									v. 19 n. 1 (2002)
							",https://rebep.org.br/revista/issue/view/30,"
				5-28
			","
					Artigos originais
				","
			Violências, juventudes e educação: notas sobre o estado do conhecimento
					"
270,"
			Ana Maria Goldani
		",,,"
				29-48
			",,"
			Família, gênero e políticas: famílias brasileiras nos anos 90 e seus desafios como fator de proteção
					"
271,"
			Ralfo Matos
		",,,"
				49-74
			",,"
			A contribuição dos imigrantes em áreas de desconcentração demográfica do Brasil contemporâneo
					"
272,"
			Paulo Eduardo Teixeira
		",,,"
				75-93
			",,"
			O processo migratório na formação de Campinas: 1765-1830
					"
273,"
			Ana Silvia Volpi Scott
		",,,"
				95-111
			",,"
			Alternativas regionais e locais à emigração para o Brasil no final do século XIX: o exemplo do Concelho de Guimarães
					"
274,"
			Maria Silvia C. Beozzo Bassanezi, Carlos de Almeida Prado Bacellar
		",,,"
				113-129
			",,"
			Levantamentos de população publicados da Província de São Paulo no século XIX
					"
275,"
			Myrian Coelho Cunha da Cruz, Iúri da Costa Leite
		",,,"
				131-140
			",,"
			Fatores de risco para déficits estaturais no segundo ano de vida: Brasil, PNDS, 1996
					"
276,"
			Massimo Livi Bacci
		","
									v. 19 n. 1 (2002)
							",https://rebep.org.br/revista/issue/view/30,"
				141-159
			","
					Ponto de Vista
				","
			500 anos de demografia brasileira: uma resenha
					"
277,"
			Wilson Fusco
		","
									v. 19 n. 1 (2002)
							",https://rebep.org.br/revista/issue/view/30,"
				161-163
			","
					Notas de pesquisa
				","
			As redes sociais nas migrações internacionais: migrantes brasileiros para os Estados Unidos e o Japão
					"
278,"
			Pedro Jacobi
		","
									v. 19 n. 1 (2002)
							",https://rebep.org.br/revista/issue/view/30,"
				165-167
			","
					Resenha
				","
			Demografia e meio ambiente
					"
279,"
			Elisabete Dória Bilac
		","
									v. 19 n. 2 (2002)
							",https://rebep.org.br/revista/issue/view/31,"
				3
			","
					Editorial
				","
			Nota da Editora
					"
280,"
			Martin Hopenhayn
		","
									v. 19 n. 2 (2002)
							",https://rebep.org.br/revista/issue/view/31,"
				5-18
			","
					Artigos originais
				","
			A cidadania vulnerabilizada na América Latina
					"
281,"
			Mary Garcia Castro, Miriam Abramovay
		",,,"
				19-46
			",,"
			Por um novo paradigma do fazer políticas – políticas de/para/com juventudes
					"
282,"
			Phillippe George Pereira Guimarães Leite, Denise Britz do Nascimento Silva
		",,,"
				47-63
			",,"
			Análise da situação ocupacional de crianças e adolescentes nas regiões Sudeste e Nordeste do Brasil utilizando informações da PNAD 1999
					"
283,"
			Jerônimo Oliveira Muniz
		",,,"
				65-98
			",,"
			As descontinuidades demográficas exercem efeitos sobre o mercado de trabalho metropolitano dos jovens?
					"
284,"
			Nancy de Deus Vieira Silva, Ana Lúcia Kassouf
		",,,"
				99-115
			",,"
			A exclusão social dos jovens no mercado de trabalho brasileiro
					"
285,"
			Mónica Franch
		",,,"
				117-133
			",,"
			Nada para fazer? Um estudo sobre atividades no tempo livre entre jovens de periferia no Recife
					"
286,"
			Kaizô Iwakami Beltrão, Ana Amélia Camarano, Solange Kanso
		",,,"
				135-157
			",,"
			Ensino fundamental: diferenças regionais
					"
287,"
			Letícia J. Marteleto
		",,,"
				159-177
			",,"
			O papel do tamanho da família na escolaridade dos jovens
					"
288,"
			Cristiane S. Cabral
		",,,"
				179-195
			",,"
			“Gravidez na adolescência” e identidade masculina: repercussões sobre a trajetória escolar e profissional do jovem
					"
289,"
			Margareth Aparecida Santini de Almeida
		",,,"
				197-207
			",,"
			Gravidez adolescente: a diversidade das situações
					"
290,"
			Russell Parry Scott, Marion Quadros, Márcia Longhi
		",,,"
				209-228
			",,"
			Jovens populares urbanos e gênero na identificação de demandas de saúde reprodutiva
					"
291,"
			Luciene A. F. de B. Longo
		",,,"
				229-247
			",,"
			Juventude e contracepção: um estudo dos fatores que influenciam o comportamento contraceptivo das jovens brasileiras de 15 a 24 anos
					"
292,"
			Rebeca de Souza e Silva
		",,,"
				249-261
			",,"
			Especulações sobre o papel do aborto provocado no comportamento reprodutivo das jovens brasileiras
					"
293,"
			Paula Miranda-Ribeiro, Ann Moore
		",,,"
				263-276
			",,"
			Já nas bancas: a saúde reprodutiva das adolescentes vista através das revistas Querida e Capricho
					"
294,"
			Maria Dirce Pinho, Elza Berquó, Kelly Adriano Oliveira, Fernanda Lopes, Luís Carlos Araújo Lima, Noeli Pereira
		",,,"
				277-294
			",,"
			Juventudes, raça e vulnerabilidades
					"
295,"
			Maria Teresa Canesin Guimarães
		","
									v. 19 n. 2 (2002)
							",https://rebep.org.br/revista/issue/view/31,"
				295-298
			","
					Notas de pesquisa
				","
			Juventude, educação e campo simbólico
					"
296,"
			Elisabete Dória Bilac
		","
									v. 20 n. 1 (2003)
							",https://rebep.org.br/revista/issue/view/32,"
				3-4
			","
					Editorial
				","
			Nota da Editora
					"
297,"
			Guaraci Adeodato Alves de Souza
		","
									v. 20 n. 1 (2003)
							",https://rebep.org.br/revista/issue/view/32,"
				5-28
			","
					Artigos originais
				","
			Padrões de sucessão das gerações. Persistências e mudanças históricas
					"
298,"
			José Alberto Magno de Carvalho, Charles H. Wood, Flávia Cristina Drumond Andrade
		",,,"
				29-42
			",,"
			Notas acerca das categorias de cor dos censos e sobre a classificação subjetiva de cor no Brasil: 1980/90
					"
299,"
			Luiz A. de Castro Santos
		",,,"
				43-62
			",,"
			A vez da mulher camponesa: movimento social, identidade e saúde no Maranhão (um relato hirschmaniano)
					"
300,"
			Maria Coleta Oliveira
		",,,"
				63-77
			",,"
			Homens e contracepção: análise estatística de dados qualitativos
					"
301,"
			Rosely Gomes Costa
		",,,"
				79-92
			",,"
			Saúde e masculinidade: reflexões de uma perspectiva de gênero
					"
302,"
			Samuel Kilsztajn, Anacláudia Rossbach, Marcelo Bozzini da Câmara, Manuela Santos Nunes do Carmo
		",,,"
				93-108
			",,"
			Serviços de saúde, gastos e envelhecimento da população brasileira
					"
303,"
			Maria Isabel Baltar da Rocha
		","
									v. 20 n. 1 (2003)
							",https://rebep.org.br/revista/issue/view/32,"
				109-114
			","
					Notas de pesquisa
				","
			Questões da anticoncepção e do aborto na Espanha: procedimentos metodológicos de uma pesquisa
					"
304,"
			Esther Hamburguer
		","
									v. 20 n. 1 (2003)
							",https://rebep.org.br/revista/issue/view/32,"
				115-119
			","
					Resenha
				","
			A mídia e a produção de significados
					"
305,"
			Elisabete Dória Bilac
		","
									v. 20 n. 2 (2003)
							",https://rebep.org.br/revista/issue/view/33,"
				127-128
			","
					Editorial
				","
			Nota da Editora
					"
306,"
			José Eustáquio Diniz Alves, Sônia Corrêa
		","
									v. 20 n. 2 (2003)
							",https://rebep.org.br/revista/issue/view/33,"
				129-156
			","
					Artigos originais
				","
			Demografia e ideologia: trajetos históricos e os desafios do Cairo + 10
					"
307,"
			Nathalie Reis Itaboraí
		",,,"
				157-176
			",,"
			Trabalho feminino e mudanças na família no Brasil (1984-1996): explorando relações
					"
308,"
			José Alberto Magno de Carvalho, Simone Wajnman, Cláudia Júlia Guimarães Horta
		",,,"
				177-205
			",,"
			Construindo uma medida do total de anos vividos pelas diferentes coortes de mulheres brasileiras com filhos menores de 7 anos de idade
					"
309,"
			Frederico Poley Martins Ferreira
		",,,"
				207-227
			",,"
			A escolha por localização dos domicílios com idosos: o caso do Município de Belo Horizonte
					"
310,"
			Márcia Milena Pivatto Serra
		",,,"
				229-239
			",,"
			Algumas considerações sobre a circulação de crianças no Brasil e sua distribuição por regiões
					"
311,"
			Lára de Melo Barbosa, Diana Oya Sawyer
		",,,"
				241-257
			",,"
			AIDS: a vulnerabilidade social e a evolução da epidemia nos municípios das regiões Nordeste e Sudeste do Brasil
					"
312,"
			Samuel Kilsztajn, Anacláudia Rossbach, Manuela Santos Nunes do Carmo, Gustavo Toshiaki Lopes Sugahara, Leandro Bessa Souza
		",,,"
				259-279
			",,"
			Vítimas fatais da violência e mercado de drogas na Região Metropolitana de São Paulo
					"
313,"
			Tirza Aidar
		",,,"
				281-302
			",,"
			O impacto das causas violentas no perfil de mortalidade da população residente no Município de Campinas: 1980 a 2000
					"
314,"
			Paula Miranda-Ribeiro, André Junqueira Caetano
		","
									v. 20 n. 2 (2003)
							",https://rebep.org.br/revista/issue/view/33,"
				303-305
			","
					Notas de pesquisa
				","
			O Programa SRSR
					"
315,"
			Paula Miranda-Ribeiro, José Alberto Magno de Carvalho
		","
									v. 20 n. 2 (2003)
							",https://rebep.org.br/revista/issue/view/33,"
				307-310
			","
					Resenha
				","
			Raça e racismo no Brasil
					"
316,"
			Elisabete Dória Bilac
		","
									v. 21 n. 1 (2004)
							",https://rebep.org.br/revista/issue/view/34,"
				3-4
			","
					Editorial
				","
			Nota da Editora
					"
317,"
			Fausto Brito
		","
									v. 21 n. 1 (2004)
							",https://rebep.org.br/revista/issue/view/34,"
				5-20
			","
					Artigos originais
				","
			Crescimento demográfico e migrações na transição para o trabalho assalariado no Brasil
					"
318,"
			Ana Maria Hermeto Camilo de Oliveira, Eduardo Luiz Gonçalves Rios-Neto
		",,,"
				21-47
			",,"
			Modelos idade-período-coorte aplicados à participação na força de trabalho: em busca de uma versão parcimoniosa
					"
319,"
			Cláudio Salvadori Dedecca, José Marcos Pinto da Cunha
		",,,"
				49-66
			",,"
			Migração, trabalho e renda nos anos 90: o caso da Região Metropolitana de São Paulo
					"
320,"
			André Geraldo de Moraes Simões
		",,,"
				67-82
			",,"
			Reorganização do espaço produtivo e a “recuperação” da economia fluminense: uma análise a partir dos migrantes altamente qualificados
					"
321,"
			Ralfo Matos, Rodrigo Nunes Ferreira
		",,,"
				83-100
			",,"
			Inserção ocupacional de emigrantes das Áreas Metropolitanas de São Paulo e Rio de Janeiro
					"
